Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered;Latitude;Longitude
Lima;Peru;;5;0;0;;
Loreto;Peru;;0;0;0;;
Lambayeque;Peru;;0;0;0;;
Callao;Peru;;0;0;0;;
Cusco;Peru;;0;0;0;;
Piura;Peru;;0;0;0;;
La Libertad;Peru;;0;0;0;;
Ancash ;Peru;;0;0;0;;
Huanuco;Peru;;0;0;0;;
Arequipa;Peru;;1;0;0;;
Ica;Peru;;0;0;0;;
Madre de dios;Peru;;0;0;0;;
Tumbes;Peru;;0;0;0;;
Cajamarca;Peru;;0;0;0;;
Amazonas;Peru;;0;0;0;;
San Martin;Peru;;0;0;0;;
Ucayali;Peru;;0;0;0;;
Pasco;Peru;;0;0;0;;
Junin;Peru;;0;0;0;;
Huancavelica;Peru;;0;0;0;;
Ayacucho;Peru;;0;0;0;;
Apurimac;Peru;;0;0;0;;
Puno;Peru;;0;0;0;;
Moquegua;Peru;;0;0;0;;
Tacna;Peru;;0;0;0;;
;Brazil;2020-03-06T20:33:03;13;0;0;-14.235;-51.9253
;Chile;2020-03-05T18:13:04;4;0;0;-35.6751;-71.543
;Ecuador;2020-03-05T17:53:02;13;0;0;-1.8312;-78.1834
;Colombia;2020-03-07T00:43:02;1;0;0;4.5709;-74.2973
;Mexico;2020-03-06T16:43:04;6;0;1;23;-102
;Panama;;0;0;0;8.538;-80.7821
;Argentina;2020-03-07T02:13:09;8;0;0;-38.4161;-63.6167
;Costa Rica;2020-03-07T00:43:02;1;0;0;9.7489;-83.7534
;Uruguay;;0;0;0;-32.5228;-55.7658
;Venezuela;;0;0;0;6.4238;-66.5897
;Dominican Republic;2020-03-06T15:33:03;2;0;0;18.7357;-70.1627
;Bolivia;;0;0;0;-16.2902;-63.5887
;Paraguay;;0;0;0;-23.4425;-58.4438
;Honduras;;0;0;0;15.2;-86.2419
;El Salvador;;0;0;0;;
;Nicaragua;;0;0;0;;
