,ISO 3166-2 Code,Subdivision,Country,Last Update,Confirmed,Death,Recovered
0,HN-AT,Atlántida,Honduras,2020-04-07,16,1,1
1,HN-CH,Choluteca,Honduras,2020-04-07,2,0,0
2,HN-CL,Colón,Honduras,2020-04-07,20,1,0
3,HN-CM,Comayagua,Honduras,2020-04-07,2,0,0
4,HN-CP,Copán,Honduras,2020-04-07,1,0,0
5,HN-CR,Cortés,Honduras,2020-04-07,195,15,0
6,HN-FM,Francisco Morazán,Honduras,2020-04-07,54,2,5
7,HN-LP,La Paz,Honduras,2020-04-07,1,0,0
8,HN-LM,Lempira,Honduras,2020-04-07,4,1,0
9,HN-SB,Santa Bárbara,Honduras,2020-04-07,8,0,0
10,HN-YO,Yoro,Honduras,2020-04-07,9,2,0
